No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
122,Poulin,Dave,TSN,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Will Butcher, New Jersey Devils"
123,Powers,Scott,The Athletic,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning","Brock Boeser, Vancouver Canucks"
124,Reed,Tom,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Pierre-Luc Dubois, Columbus Blue Jackets","Yanni Gourde, Tampa Bay Lightning"
125,Richards,George,Columbus Dispatch,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Nico Hischier, New Jersey Devils"
126,Rorabaugh,Seth,The Athletic,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Will Butcher, New Jersey Devils","Pierre-Luc Dubois, Columbus Blue Jackets"
127,Rossi,Rob,Pittsburgh Tribune-Review,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Nico Hischier, New Jersey Devils","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks"
128,Russo,Michael,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning"
129,Rutherford,Jeremy,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins"
130,Ryan,Chris,Newark Star-Ledger,"Mathew Barzal, New York Islanders","Nico Hischier, New Jersey Devils","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
131,Schoen,Dave,Las Vegas Review-Journal,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Charlie McAvoy, Boston Bruins","Nico Hischier, New Jersey Devils"
132,Seravalli,Frank,TSN,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks"
133,Shannon,John,Sportsnet,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Yanni Gourde, Tampa Bay Lightning"
134,Shapiro,Sean,The Athletic,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes"
135,Shilton,Kristen,TSN,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Yanni Gourde, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks"
136,Shinzawa,Fluto,The Athletic,"Mathew Barzal, New York Islanders","Nico Hischier, New Jersey Devils","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning","Charlie McAvoy, Boston Bruins"
137,Shoalts,David,The Globe and Mail,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning","Mikhail Sergachev, Tampa Bay Lightning"
138,Siegel,Jonas,The Athletic,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Yanni Gourde, Tampa Bay Lightning"
139,Simmons,Steve,Postmedia,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Yanni Gourde, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes"
140,Simpson,Craig,HNIC,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning"
141,Smith,Joe,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes"
142,Spector,Mark,Sportsnet,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
143,St. James,Helene,Detroit Free Press,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Pierre-Luc Dubois, Columbus Blue Jackets","Charlie McAvoy, Boston Bruins","Yanni Gourde, Tampa Bay Lightning"
144,St. Laurent,Sylvain,Le Droit,"Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets","Pierre-Luc Dubois, Columbus Blue Jackets","Clayton Keller, Arizona Coyotes"
145,Staple,Arthur,The Athletic,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes"
146,Stephens,Eric,Orange County Register,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets"
147,Stevenson,Chris,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
148,Tasch,Justin,New York Daily News,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning","Charlie McAvoy, Boston Bruins"
149,Thomas,Jim,St. Louis Post-Dispatch,"Clayton Keller, Arizona Coyotes","Alex DeBrincat, Chicago Blackhawks","Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets"
150,Timmermann,Tom,St. Louis Post-Dispatch,"Mathew Barzal, New York Islanders","Nico Hischier, New Jersey Devils","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning","Brock Boeser, Vancouver Canucks"
151,Traikos,Michael,Postmedia,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Alex DeBrincat, Chicago Blackhawks"
152,Vingan,Adam,The Tennessean,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Yanni Gourde, Tampa Bay Lightning"
153,Vogl,John,Buffalo News,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Will Butcher, New Jersey Devils"
154,Wallace,Lisa,The Canadian Press,"Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks"
155,Warren,Ken,Ottawa Citizen,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets"
156,Wharnsby,Tim,CBCSports.ca,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Will Butcher, New Jersey Devils","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes"
157,Whicker,Mark,Orange County Register,"Mathew Barzal, New York Islanders","Will Butcher, New Jersey Devils","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning"
158,Whyno,Stephen,The Associated Press,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Nico Hischier, New Jersey Devils"
159,Wiebe,Ken,Winnipeg Sun,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes"
160,Willes,Ed,The Province,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets"
161,Wyman,Ted,Winnipeg Sun,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Alex DeBrincat, Chicago Blackhawks"
162,Wyshynski,Greg,ESPN,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes"
163,Yohe,Josh,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins"
164,Zipay,Steve,Newsday,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Charlie McAvoy, Boston Bruins"
