No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
112,Morganti,Al,NBC Sports Philadelphia,"Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nathan MacKinnon, Colorado Avalanche","Alex Ovechkin, Washington Capitals"
113,Morin,Richard,Arizona Republic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning","Claude Giroux, Philadelphia Flyers"
114,Morrison,Scott,Sportsnet,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers"
115,Oake,Scott,HNIC,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings"
116,O'Connor,Charlie,The Athletic,"Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings"
117,Parent,Rob,Delaware County Daily Times,"Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning"
118,Pashelka,Curtis,San Jose Mercury News,"Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning","Connor McDavid, Edmonton Oilers"
119,Peng,Sheng,HockeyBuzz,"Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Alex Ovechkin, Washington Capitals"
120,Peters,Chris,ESPN,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
121,Portzline,Aaron,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","William Karlsson, Vegas Golden Knights","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
122,Poulin,Dave,TSN,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Blake Wheeler, Winnipeg Jets","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers"
123,Powers,Scott,The Athletic,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Artemi Panarin, Columbus Blue Jackets"
124,Reed,Tom,The Athletic,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","William Karlsson, Vegas Golden Knights","Connor McDavid, Edmonton Oilers"
125,Richards,George,Columbus Dispatch,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
126,Rorabaugh,Seth,The Athletic,"William Karlsson, Vegas Golden Knights","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Blake Wheeler, Winnipeg Jets"
127,Rossi,Rob,Pittsburgh Tribune-Review,"Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils",Evgeni Malkin. Pittsburgh Penguins,"Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche"
128,Russo,Michael,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets"
129,Rutherford,Jeremy,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
130,Ryan,Chris,Newark Star-Ledger,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning","Claude Giroux, Philadelphia Flyers"
131,Schoen,Dave,Las Vegas Review-Journal,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Alex Ovechkin, Washington Capitals","Nikita Kucherov, Tampa Bay Lightning"
132,Seravalli,Frank,TSN,"Taylor Hall, New Jersey Devils","Blake Wheeler, Winnipeg Jets","Connor McDavid, Edmonton Oilers","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers"
133,Shannon,John,Sportsnet,"Blake Wheeler, Winnipeg Jets","Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Nikita Kucherov, Tampa Bay Lightning","Nathan MacKinnon, Colorado Avalanche"
134,Shapiro,Sean,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Alex Ovechkin, Washington Capitals"
135,Shilton,Kristen,TSN,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
136,Shinzawa,Fluto,The Athletic,"Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Sergei Bobrovsky, Columbus Blue Jackets","Blake Wheeler, Winnipeg Jets"
137,Shoalts,David,The Globe and Mail,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings",Evgeni Malkin. Pittsburgh Penguins
138,Siegel,Jonas,The Athletic,"Connor McDavid, Edmonton Oilers","Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
139,Simmons,Steve,Postmedia,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
140,Simpson,Craig,HNIC,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers","Nikita Kucherov, Tampa Bay Lightning"
141,Smith,Joe,The Athletic,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers"
142,Spector,Mark,Sportsnet,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers"
143,St. James,Helene,Detroit Free Press,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning","Anze Kopitar, Los Angeles Kings"
144,St. Laurent,Sylvain,Le Droit,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Pekka Rinne, Nashville Predators","Connor McDavid, Edmonton Oilers"
145,Staple,Arthur,The Athletic,"Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche",Evgeni Malkin. Pittsburgh Penguins,"Claude Giroux, Philadelphia Flyers"
146,Stephens,Eric,Orange County Register,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
147,Stevenson,Chris,The Athletic,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers"
148,Tasch,Justin,New York Daily News,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Alex Ovechkin, Washington Capitals"
149,Thomas,Jim,St. Louis Post-Dispatch,"Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","William Karlsson, Vegas Golden Knights","Nikita Kucherov, Tampa Bay Lightning"
150,Timmermann,Tom,St. Louis Post-Dispatch,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Nikita Kucherov, Tampa Bay Lightning","Claude Giroux, Philadelphia Flyers","William Karlsson, Vegas Golden Knights"
151,Traikos,Michael,Postmedia,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers",Evgeni Malkin. Pittsburgh Penguins,"Anze Kopitar, Los Angeles Kings"
152,Vingan,Adam,The Tennessean,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
153,Vogl,John,Buffalo News,"Taylor Hall, New Jersey Devils","Nikita Kucherov, Tampa Bay Lightning","Nathan MacKinnon, Colorado Avalanche","Blake Wheeler, Winnipeg Jets","Pekka Rinne, Nashville Predators"
154,Wallace,Lisa,The Canadian Press,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils",Evgeni Malkin. Pittsburgh Penguins,"Nikita Kucherov, Tampa Bay Lightning","Claude Giroux, Philadelphia Flyers"
155,Warren,Ken,Ottawa Citizen,"Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Pekka Rinne, Nashville Predators","Connor McDavid, Edmonton Oilers"
156,Wharnsby,Tim,CBCSports.ca,"Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Alex Ovechkin, Washington Capitals"
157,Whicker,Mark,Orange County Register,"Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning","William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Connor Hellebuyck, Winnipeg Jets"
158,Whyno,Stephen,The Associated Press,"Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Alex Ovechkin, Washington Capitals"
159,Wiebe,Ken,Winnipeg Sun,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets"
160,Willes,Ed,The Province,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings",Evgeni Malkin. Pittsburgh Penguins,"Nikita Kucherov, Tampa Bay Lightning"
161,Wyman,Ted,Winnipeg Sun,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets"
162,Wyshynski,Greg,ESPN,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets"
163,Yohe,Josh,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils",Evgeni Malkin. Pittsburgh Penguins,"Nikita Kucherov, Tampa Bay Lightning","Alex Ovechkin, Washington Capitals"
164,Zipay,Steve,Newsday,"Connor McDavid, Edmonton Oilers","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
