No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
29,Custance,Craig,The Athletic,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators"
30,Cuthbert,Chris,TSN / NBC,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals","Roman Josi, Nashville Predators"
31,Dater,Adrian,BSN Denver,"PK Subban, Nashville Predators","Dougie Hamilton, Calgary Flames","John Klingberg, Dallas Stars","Marc-Edouard Vlasic, San Jose Sharks","Jaccob Slavin, Carolina Hurricanes"
32,De Foy,Marc,Le Journal de Montreal,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Klingberg, Dallas Stars","Shayne Gostisbehere, Philadelphia Flyers"
33,DeCock,Luke,Raleigh News & Observer,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Roman Josi, Nashville Predators","Brent Burns, San Jose Sharks","PK Subban, Nashville Predators"
34,DeFranks,Matthew,South Florida Sun-Sentinel,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals"
35,Diamond,Jim,The Associated Press,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals"
36,Dietz,John,Arlington Daily Herald,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Shayne Gostisbehere, Philadelphia Flyers","John Carlson, W ashington Capitals","Brent Burns, San Jose Sharks"
37,Dixon,Ryan,Sportsnet,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Alex Pietrangelo, St. Louis. Blues"
38,Dreger,Darren,TSN,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
39,Dryden,Steve,TSN,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","Roman Josi, Nashville Predators"
40,Duhatschek,Eric,The Athletic,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Alex Pietrangelo, St. Louis. Blues"
41,El-Bashir,Tarik,NBC Sports Washington,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals","PK Subban, Nashville Predators"
42,Engels,Eric,Sportsnet,"PK Subban, Nashville Predators","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Klingberg, Dallas Stars"
43,Erlendsson,Erik,LightningInsider.com,"Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators"
44,Ferraro,Ray,TSN / NBC,"Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Roman Josi, Nashville Predators"
45,Fish,Wayne,FlyingFishHockey.com,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","Shayne Gostisbehere, Philadelphia Flyers","John Klingberg, Dallas Stars"
46,Fox,Luke,Sportsnet,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
47,Francis,Eric,Calgary Sun,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Brent Burns, San Jose Sharks","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets"
48,Friedman,Elliotte,Sportsnet,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Roman Josi, Nashville Predators","Seth Jones, Columbus Blue Jackets"
49,Gackle,Paul,San Jose Mercury News,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","John Klingberg, Dallas Stars","Marc-Edouard Vlasic, San Jose Sharks"
50,Gagnon,Francois,RDS,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Roman Josi, Nashville Predators","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators"
51,Garrioch,Bruce,Ottawa Sun,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators"
52,Gilbertson,Wes,Calgary Sun,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators"
53,Godin,Marc-Antoine,Athletique / The Athletic,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators"
54,Gorten,Steve,Columbus Dispatch,"Seth Jones, Columbus Blue Jackets","Victor Hedman, Tampa Bay Lightning","Shayne Gostisbehere, Philadelphia Flyers","John Carlson, W ashington Capitals","Drew Doughty, Los Angeles Kings"
55,Graff,Chad,The Athletic,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Roman Josi, Nashville Predators"
56,Granger,Jesse,Las Vegas Sun,"Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","PK Subban, Nashville Predators","John Klingberg, Dallas Stars","Brent Burns, San Jose Sharks"
57,Gregor,Jason,Oilers Nation,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators"
58,Gretz,Adam,NBC Sports,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Klingberg, Dallas Stars"
59,Gross,Andrew,Newsday,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","PK Subban, Nashville Predators","John Klingberg, Dallas Stars"
60,Haggerty,Joe,NBC Sports Boston,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Drew Doughty, Los Angeles Kings","Shayne Gostisbehere, Philadelphia Flyers"
61,Halford,Mike,The Athletic,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators"
62,Halverson,Brian,Minnesota Hockey magazine,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars"
63,Harrington,Mike,Buffalo News,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars"
64,Haynes,Darren,The Canadian Press,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","John Klingberg, Dallas Stars","Brent Burns, San Jose Sharks"
65,Heika,Mike,Dallas Morning News,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars"
66,Hickey,Pat,Montreal Gazette,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars"
67,Hine,Chris,Minneapolis Star Tribune,"Victor Hedman, Tampa Bay Lightning","John Klingberg, Dallas Stars","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","Roman Josi, Nashville Predators"
68,Hoffren,Sami,Iltasanomat,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals","Alex Pietrangelo, St. Louis. Blues"
69,Hoppe,Bill,Olean Times Herald,"Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","Drew Doughty, Los Angeles Kings","John Klingberg, Dallas Stars","PK Subban, Nashville Predators"
70,Hornby,Lance,Toronto Sun,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars","Seth Jones, Columbus Blue Jackets"
71,Hughes,Travis,SB Nation,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","Brent Burns, San Jose Sharks","PK Subban, Nashville Predators"
72,Hughson,Jim,HNIC,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators","John Carlson, W ashington Capitals"
73,Isaac,Dave,South Jersey Courier-Post,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators","John Carlson, W ashington Capitals"
74,Johnston,Chris,Sportsnet,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Alex Pietrangelo, St. Louis. Blues","Seth Jones, Columbus Blue Jackets"
75,Kaplan,Emily,ESPN,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
76,Kay,Jason,The Hockey News,"Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
77,Kennedy,Ryan,The Hockey News,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets"
78,Khan,Ansar,MLive Media Group,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Brent Burns, San Jose Sharks"
79,Koshan,Terry,Toronto Sun,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Klingberg, Dallas Stars"
80,Kovacevic,Dejan,DKonPittsburghSports.com,"Victor Hedman, Tampa Bay Lightning","Brent Burns, San Jose Sharks","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Drew Doughty, Los Angeles Kings"
81,Kulfan,Ted,Detroit News,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","Alex Pietrangelo, St. Louis. Blues"
82,Kurz,Kevin,The Athletic,"PK Subban, Nashville Predators","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Marc-Edouard Vlasic, San Jose Sharks","Seth Jones, Columbus Blue Jackets"
83,Kuzma,Ben,The Province,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Brent Burns, San Jose Sharks","John Carlson, W ashington Capitals","Shayne Gostisbehere, Philadelphia Flyers"
84,Kypreos,Nick,HNIC,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators"
85,Labbe,Richard,La Presse,"PK Subban, Nashville Predators","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Klingberg, Dallas Stars","Brent Burns, San Jose Sharks"
