No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
127,Rossi,Rob,Pittsburgh Tribune-Review,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","John Klingberg, Dallas Stars","PK Subban, Nashville Predators"
128,Russo,Michael,The Athletic,"Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","PK Subban, Nashville Predators","Roman Josi, Nashville Predators","Drew Doughty, Los Angeles Kings"
129,Rutherford,Jeremy,The Athletic,"Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","Alex Pietrangelo, St. Louis. Blues"
130,Ryan,Chris,Newark Star-Ledger,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
131,Schoen,Dave,Las Vegas Review-Journal,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars"
132,Seravalli,Frank,TSN,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Alex Pietrangelo, St. Louis. Blues","John Carlson, W ashington Capitals"
133,Shannon,John,Sportsnet,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Roman Josi, Nashville Predators","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
134,Shapiro,Sean,The Athletic,"Seth Jones, Columbus Blue Jackets","Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars"
135,Shilton,Kristen,TSN,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
136,Shinzawa,Fluto,The Athletic,"Victor Hedman, Tampa Bay Lightning","Erik Karlsson, Ottawa Senators","Alex Pietrangelo, St. Louis. Blues","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets"
137,Shoalts,David,The Globe and Mail,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Roman Josi, Nashville Predators","Seth Jones, Columbus Blue Jackets"
138,Siegel,Jonas,The Athletic,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators"
139,Simmons,Steve,Postmedia,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Marc-Edouard Vlasic, San Jose Sharks","PK Subban, Nashville Predators"
140,Simpson,Craig,HNIC,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Roman Josi, Nashville Predators","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
141,Smith,Joe,The Athletic,"Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
142,Spector,Mark,Sportsnet,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Alex Pietrangelo, St. Louis. Blues","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators"
143,St. James,Helene,Detroit Free Press,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators"
144,St. Laurent,Sylvain,Le Droit,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Drew Doughty, Los Angeles Kings","John Klingberg, Dallas Stars"
145,Staple,Arthur,The Athletic,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals","Roman Josi, Nashville Predators"
146,Stephens,Eric,Orange County Register,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
147,Stevenson,Chris,The Athletic,"Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","Drew Doughty, Los Angeles Kings","John Klingberg, Dallas Stars","Brent Burns, San Jose Sharks"
148,Tasch,Justin,New York Daily News,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
149,Thomas,Jim,St. Louis Post-Dispatch,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Alex Pietrangelo, St. Louis. Blues"
150,Timmermann,Tom,St. Louis Post-Dispatch,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Klingberg, Dallas Stars","Seth Jones, Columbus Blue Jackets"
151,Traikos,Michael,Postmedia,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","Ryan Suter, Minnesota Wild"
152,Vingan,Adam,The Tennessean,"PK Subban, Nashville Predators","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Klingberg, Dallas Stars"
153,Vogl,John,Buffalo News,"Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Drew Doughty, Los Angeles Kings","John Klingberg, Dallas Stars","Dougie Hamilton, Calgary Flames"
154,Wallace,Lisa,The Canadian Press,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Alex Pietrangelo, St. Louis. Blues","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
155,Warren,Ken,Ottawa Citizen,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","PK Subban, Nashville Predators","John Klingberg, Dallas Stars"
156,Wharnsby,Tim,CBCSports.ca,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Klingberg, Dallas Stars","Seth Jones, Columbus Blue Jackets"
157,Whicker,Mark,Orange County Register,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars","PK Subban, Nashville Predators"
158,Whyno,Stephen,The Associated Press,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators","John Carlson, W ashington Capitals"
159,Wiebe,Ken,Winnipeg Sun,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","Roman Josi, Nashville Predators","Seth Jones, Columbus Blue Jackets"
160,Willes,Ed,The Province,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Roman Josi, Nashville Predators","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
161,Wyman,Ted,Winnipeg Sun,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals"
162,Wyshynski,Greg,ESPN,"PK Subban, Nashville Predators","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals"
163,Yohe,Josh,The Athletic,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Erik Karlsson, Ottawa Senators"
164,Zipay,Steve,Newsday,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets"
