No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
116,O'Connor,Charlie,The Athletic,"Ryan O'Reilly, Buffalo Sabres","Jaccob Slavin, Carolina Hurricanes","Colton Parayko, St. Louis Blues","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers"
117,Parent,Rob,Delaware County Daily Times,"Johnny Gaudreau, Calgary Flames","Jared Spurgeon, Minnesota Wild","Ryan O'Reilly, Buffalo Sabres","Sebastian Aho, Carolina Hurricanes","Vladimir Tarasenko, St. Louis Blues"
118,Pashelka,Curtis,San Jose Mercury News,"William Karlsson, Vegas Golden Knights","Connor McDavid, Edmonton Oilers","Aleksander Barkov, Florida Panthers","Auston Matthews, Toronto Maple Leafs","Anze Kopitar, Los Angeles Kings"
119,Peng,Sheng,HockeyBuzz,"Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Logan Couture, San Jose Sharks","Jaccob Slavin, Carolina Hurricanes"
120,Peters,Chris,ESPN,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild"
121,Portzline,Aaron,The Athletic,"William Karlsson, Vegas Golden Knights","Connor McDavid, Edmonton Oilers","Johnny Gaudreau, Calgary Flames","John Tavares, New York Islanders","Evgenii Dadonov, Florida Panthers"
122,Poulin,Dave,TSN,"Ryan O'Reilly, Buffalo Sabres","Aleksander Barkov, Florida Panthers","Morgan Rielly, Toronto Maple Leafs","Alex DeBrincat, Chicago Blackhawks","Anze Kopitar, Los Angeles Kings"
123,Powers,Scott,The Athletic,"Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Zach Werenski, Columbus Blue Jackets","Alex DeBrincat, Chicago Blackhawks"
124,Reed,Tom,The Athletic,"William Karlsson, Vegas Golden Knights","Connor McDavid, Edmonton Oilers","Johnny Gaudreau, Calgary Flames","John Tavares, New York Islanders","Anze Kopitar, Los Angeles Kings"
125,Richards,George,Columbus Dispatch,"Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Connor McDavid, Edmonton Oilers","Alex DeBrincat, Chicago Blackhawks","Auston Matthews, Toronto Maple Leafs"
126,Rorabaugh,Seth,The Athletic,"Rickard Rakell, Anaheim Ducks","Teuvo Teravainen, Carolina Hurricanes","Patrick Marleau, Toronto Maple Leafs","Ryan O'Reilly, Buffalo Sabres","Tobias Rieder, Los Angeles Kings"
127,Rossi,Rob,Pittsburgh Tribune-Review,"Henrik Sedin, Vancouver Canucks","Daniel Sedin, Vancouver Canucks","Nikita Kucherov, Tampa Bay Lightning","William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings"
128,Russo,Michael,The Athletic,"Jared Spurgeon, Minnesota Wild","Marc-Edouard Vlasic, San Jose Sharks","Claude Giroux, Philadelphia Flyers","Mikael Granlund, Minnesota Wild","Anze Kopitar, Los Angeles Kings"
129,Rutherford,Jeremy,The Athletic,"Connor McDavid, Edmonton Oilers","Marc-Edouard Vlasic, San Jose Sharks","Anze Kopitar, Los Angeles Kings","Alex Pietrangelo, St. Louis Blues","Claude Giroux, Philadelphia Flyers"
130,Ryan,Chris,Newark Star-Ledger,"Claude Giroux, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Johnny Gaudreau, Calgary Flames","William Karlsson, Vegas Golden Knights"
131,Schoen,Dave,Las Vegas Review-Journal,"Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Marc-Edouard Vlasic, San Jose Sharks","Anze Kopitar, Los Angeles Kings"
132,Seravalli,Frank,TSN,"Anze Kopitar, Los Angeles Kings","Alex Pietrangelo, St. Louis Blues","Morgan Rielly, Toronto Maple Leafs","Claude Giroux, Philadelphia Flyers","William Karlsson, Vegas Golden Knights"
133,Shannon,John,Sportsnet,"Ryan O'Reilly, Buffalo Sabres","Anze Kopitar, Los Angeles Kings","Patrick Marleau, Toronto Maple Leafs","William Karlsson, Vegas Golden Knights","Logan Couture, San Jose Sharks"
134,Shapiro,Sean,The Athletic,"Alex DeBrincat, Chicago Blackhawks","William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Evgenii Dadonov, Florida Panthers","William Nylander, Toronto Maple Leafs"
135,Shilton,Kristen,TSN,"Ryan O'Reilly, Buffalo Sabres","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Connor McDavid, Edmonton Oilers","Alex Pietrangelo, St. Louis Blues"
136,Shinzawa,Fluto,The Athletic,"Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers","John Tavares, New York Islanders","Ryan O'Reilly, Buffalo Sabres","Eric Staal, Minnesota Wild"
137,Shoalts,David,The Globe and Mail,"Morgan Rielly, Toronto Maple Leafs","Alex DeBrincat, Chicago Blackhawks","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers"
138,Siegel,Jonas,The Athletic,"Marc-Edouard Vlasic, San Jose Sharks","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Morgan Rielly, Toronto Maple Leafs","Ryan O'Reilly, Buffalo Sabres"
139,Simmons,Steve,Postmedia,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Morgan Rielly, Toronto Maple Leafs","Mark Stone, Ottawa Senators","Rickard Rakell, Anaheim Ducks"
140,Simpson,Craig,HNIC,"Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Auston Matthews, Toronto Maple Leafs","Rickard Rakell, Anaheim Ducks"
141,Smith,Joe,The Athletic,"Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Auston Matthews, Toronto Maple Leafs","Claude Giroux, Philadelphia Flyers","Marc-Edouard Vlasic, San Jose Sharks"
142,Spector,Mark,Sportsnet,"Claude Giroux, Philadelphia Flyers","William Karlsson, Vegas Golden Knights","Auston Matthews, Toronto Maple Leafs","Anze Kopitar, Los Angeles Kings","Shayne Gostisbehere, Philadelphia"
143,St. James,Helene,Detroit Free Press,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Connor McDavid, Edmonton Oilers"
144,St. Laurent,Sylvain,Le Droit,"Marc-Edouard Vlasic, San Jose Sharks","William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Jason Pominville, Buffalo Sabres","Jason Spezza, Dallas Stars"
145,Staple,Arthur,The Athletic,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Rickard Rakell, Anaheim Ducks","Mikael Granlund, Minnesota Wild","Henrik Zetterberg, Detroit Red Wings"
146,Stephens,Eric,Orange County Register,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Jared Spurgeon, Minnesota Wild","William Nylander, Toronto Maple Leafs","Ryan O'Reilly, Buffalo Sabres"
147,Stevenson,Chris,The Athletic,"Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Alex DeBrincat, Chicago Blackhawks","Auston Matthews, Toronto Maple Leafs","Johnny Gaudreau, Calgary Flames"
148,Tasch,Justin,New York Daily News,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Jared Spurgeon, Minnesota Wild","Ryan O'Reilly, Buffalo Sabres"
149,Thomas,Jim,St. Louis Post-Dispatch,"Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Johnny Gaudreau, Calgary Flames","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers"
150,Timmermann,Tom,St. Louis Post-Dispatch,"Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","Alex DeBrincat, Chicago Blackhawks","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights"
151,Traikos,Michael,Postmedia,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Auston Matthews, Toronto Maple Leafs","Jared Spurgeon, Minnesota Wild","Rickard Rakell, Anaheim Ducks"
152,Vingan,Adam,The Tennessean,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Auston Matthews, Toronto Maple Leafs","Mark Stone, Ottawa Senators"
153,Vogl,John,Buffalo News,"Jared Spurgeon, Minnesota Wild","Anze Kopitar, Los Angeles Kings","Ryan O'Reilly, Buffalo Sabres","Alex DeBrincat, Chicago Blackhawks","Marc-Edouard Vlasic, San Jose Sharks"
154,Wallace,Lisa,The Canadian Press,"Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Johnny Gaudreau, Calgary Flames","Claude Giroux, Philadelphia Flyers"
155,Warren,Ken,Ottawa Citizen,"Ryan O'Reilly, Buffalo Sabres","Alex DeBrincat, Chicago Blackhawks","Marc-Edouard Vlasic, San Jose Sharks","Jaccob Slavin, Carolina Hurricanes","Evgenii Dadonov, Florida Panthers"
156,Wharnsby,Tim,CBCSports.ca,"Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","William Karlsson, Vegas Golden Knights","Alex DeBrincat, Chicago Blackhawks","Logan Couture, San Jose Sharks"
157,Whicker,Mark,Orange County Register,"Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres"
158,Whyno,Stephen,The Associated Press,"Marc-Edouard Vlasic, San Jose Sharks","William Karlsson, Vegas Golden Knights","Colton Parayko, St. Louis Blues","Ryan O'Reilly, Buffalo Sabres","Brayden Point, Tampa Bay Lightning"
159,Wiebe,Ken,Winnipeg Sun,"Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Jared Spurgeon, Minnesota Wild","Colton Parayko, St. Louis Blues"
160,Willes,Ed,The Province,"Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Alex Pietrangelo, St. Louis Blues"
161,Wyman,Ted,Winnipeg Sun,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Rickard Rakell, Anaheim Ducks","Josh Bailey, New York Islanders"
162,Wyshynski,Greg,ESPN,"Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Jared Spurgeon, Minnesota Wild","Anze Kopitar, Los Angeles Kings","Alex Pietrangelo, St. Louis Blues"
163,Yohe,Josh,The Athletic,"Ryan O'Reilly, Buffalo Sabres","Johnny Gaudreau, Calgary Flames","Auston Matthews, Toronto Maple Leafs","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings"
164,Zipay,Steve,Newsday,"William Karlsson, Vegas Golden Knights","Johnny Gaudreau, Calgary Flames","Auston Matthews, Toronto Maple Leafs","Vladimir Tarasenko, St. Louis Blues","Ryan O'Reilly, Buffalo Sabres"
