No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
27,Colageo,Mick,New Bedford Standard-Times,"Ryan O'Reilly, Buffalo Sabres","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Rickard Rakell, Anaheim Ducks"
28,Conroy,Stephen,Boston Herald,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Rickard Rakell, Anaheim Ducks"
29,Custance,Craig,The Athletic,"Auston Matthews, Toronto Maple Leafs","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Alex Pietrangelo, St. Louis Blues","Jaccob Slavin, Carolina Hurricanes"
30,Cuthbert,Chris,TSN / NBC,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Morgan Rielly, Toronto Maple Leafs"
31,Dater,Adrian,BSN Denver,"Jared Spurgeon, Minnesota Wild","Jaccob Slavin, Carolina Hurricanes","Ryan O'Reilly, Buffalo Sabres","William Nylander, Toronto Maple Leafs","Samuel Girard, Colorado Avalanche"
32,De Foy,Marc,Le Journal de Montreal,"William Karlsson, Vegas Golden Knights","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers","Aleksander Barkov, Florida Panthers"
33,DeCock,Luke,Raleigh News & Observer,"Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning","Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","Jaccob Slavin, Carolina Hurricanes"
34,DeFranks,Matthew,South Florida Sun-Sentinel,"Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Auston Matthews, Toronto Maple Leafs","Marc-Edouard Vlasic, San Jose Sharks"
35,Diamond,Jim,The Associated Press,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Morgan Rielly, Toronto Maple Leafs"
36,Dietz,John,Arlington Daily Herald,"Auston Matthews, Toronto Maple Leafs","Johnny Gaudreau, Calgary Flames","Jared Spurgeon, Minnesota Wild","Logan Couture, San Jose Sharks","Alex DeBrincat, Chicago Blackhawks"
37,Dixon,Ryan,Sportsnet,"Morgan Rielly, Toronto Maple Leafs","William Karlsson, Vegas Golden Knights","Rickard Rakell, Anaheim Ducks","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings"
38,Dreger,Darren,TSN,"William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Aleksander Barkov, Florida Panthers","Alex DeBrincat, Chicago Blackhawks","Claude Giroux, Philadelphia Flyers"
39,Dryden,Steve,TSN,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Alex Pietrangelo, St. Louis Blues","Morgan Rielly, Toronto Maple Leafs"
40,Duhatschek,Eric,The Athletic,"Auston Matthews, Toronto Maple Leafs","Aleksander Barkov, Florida Panthers","Connor McDavid, Edmonton Oilers","William Karlsson, Vegas Golden Knights","Claude Giroux, Philadelphia Flyers"
41,El-Bashir,Tarik,NBC Sports Washington,"Auston Matthews, Toronto Maple Leafs","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Alex Pietrangelo, St. Louis Blues","Ryan O'Reilly, Buffalo Sabres"
42,Engels,Eric,Sportsnet,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Auston Matthews, Toronto Maple Leafs","Patrice Bergeron, Boston Bruins"
43,Erlendsson,Erik,LightningInsider.com,"William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Will Butcher, New Jersey Devils","Aleksander Barkov, Florida Panthers","Alex DeBrincat, Chicago Blackhawks"
44,Ferraro,Ray,TSN / NBC,"Ryan O'Reilly, Buffalo Sabres","Marc-Edouard Vlasic, San Jose Sharks","William Karlsson, Vegas Golden Knights","Auston Matthews, Toronto Maple Leafs","Evgenii Dadonov, Florida Panthers"
45,Fish,Wayne,FlyingFishHockey.com,"Ryan O'Reilly, Buffalo Sabres","Henrik Zetterberg, Detroit Red Wings","Aleksander Barkov, Florida Panthers","Vladimir Tarasenko, St. Louis Blues","William Karlsson, Vegas Golden Knights"
46,Fox,Luke,Sportsnet,"Daniel Sedin, Vancouver Canucks","Henrik Sedin, Vancouver Canucks","William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers"
47,Francis,Eric,Calgary Sun,"William Karlsson, Vegas Golden Knights","Logan Couture, San Jose Sharks","Ryan O'Reilly, Buffalo Sabres","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings"
48,Friedman,Elliotte,Sportsnet,"Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Marc-Edouard Vlasic, San Jose Sharks","Alex Pietrangelo, St. Louis Blues"
49,Gackle,Paul,San Jose Mercury News,"Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","William Nylander, Toronto Maple Leafs","Patrick Marleau, Toronto Maple Leafs"
50,Gagnon,Francois,RDS,"William Karlsson, Vegas Golden Knights","Jared Spurgeon, Minnesota Wild","Marc-Edouard Vlasic, San Jose Sharks","Ryan O'Reilly, Buffalo Sabres","Henrik Zetterberg, Detroit Red Wings"
51,Garrioch,Bruce,Ottawa Sun,"Ryan O'Reilly, Buffalo Sabres","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Logan Couture, San Jose Sharks","Alex DeBrincat, Chicago Blackhawks"
52,Gilbertson,Wes,Calgary Sun,"William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Connor McDavid, Edmonton Oilers","Jared Spurgeon, Minnesota Wild","Aleksander Barkov, Florida Panthers"
53,Godin,Marc-Antoine,Athletique / The Athletic,"Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Evgenii Dadonov, Florida Panthers","Auston Matthews, Toronto Maple Leafs","Mark Stone, Ottawa Senators"
54,Gorten,Steve,Columbus Dispatch,"Jared Spurgeon, Minnesota Wild","Alex DeBrincat, Chicago Blackhawks","Olli Maatta, Pittsburgh Penguins","Logan Couture, San Jose Sharks","William Karlsson, Vegas Golden Knights"
55,Graff,Chad,The Athletic,"William Karlsson, Vegas Golden Knights","Alex DeBrincat, Chicago Blackhawks","Jared Spurgeon, Minnesota Wild","Anze Kopitar, Los Angeles Kings","Ryan O'Reilly, Buffalo Sabres"
56,Granger,Jesse,Las Vegas Sun,"William Karlsson, Vegas Golden Knights","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Johnny Gaudreau, Calgary Flames","Aleksander Barkov, Florida Panthers"
57,Gregor,Jason,Oilers Nation,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Morgan Rielly, Toronto Maple Leafs","Zach Werenski, Columbus Blue Jackets","Anze Kopitar, Los Angeles Kings"
58,Gretz,Adam,NBC Sports,"Ryan O'Reilly, Buffalo Sabres","Jaccob Slavin, Carolina Hurricanes","Ondrej Palat, Tampa Bay Lightning","William Karlsson, Vegas Golden Knights","Alex DeBrincat, Chicago Blackhawks"
59,Gross,Andrew,Newsday,"Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","Anze Kopitar, Los Angeles Kings","Alex DeBrincat, Chicago Blackhawks","Auston Matthews, Toronto Maple Leafs"
60,Haggerty,Joe,NBC Sports Boston,"Ryan O'Reilly, Buffalo Sabres","Alex DeBrincat, Chicago Blackhawks","Ryan Spooner, New York Rangers","Mark Stone, Ottawa Senators","Evgenii Dadonov, Florida Panthers"
61,Halford,Mike,The Athletic,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Evgenii Dadonov, Florida Panthers","Morgan Rielly, Toronto Maple Leafs","Henrik Sedin, Vancouver Canucks"
62,Halverson,Brian,Minnesota Hockey magazine,"Jared Spurgeon, Minnesota Wild","William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Claude Giroux, Philadelphia Flyers","Aleksander Barkov, Florida Panthers"
63,Harrington,Mike,Buffalo News,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Alex DeBrincat, Chicago Blackhawks"
64,Haynes,Darren,The Canadian Press,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Anze Kopitar, Los Angeles Kings","Morgan Rielly, Toronto Maple Leafs"
65,Heika,Mike,Dallas Morning News,"Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Jared Spurgeon, Minnesota Wild","Claude Giroux, Philadelphia Flyers"
