player,TEAM,GP,G,A,PTS,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
MICHAEL.AMADIO,LA,37,4,4,8,8,0.22,28,14.3,0,1,2,0,0
MACKENZIE.WEEGAR,FLA,60,2,6,8,32,0.13,58,3.4,0,0,0,0,0
HAYDN.FLEURY,CAR,67,0,8,8,14,0.12,86,0,0,0,0,0,0
GUSTAV.OLOFSSON,MIN,41,0,8,8,14,0.2,22,0,0,0,0,0,0
KEVIN.ROY,ANA,25,6,1,7,6,0.28,26,23.1,1,1,0,0,0
MARCUS.SORENSEN,SJ,32,5,2,7,5,0.22,25,20,1,0,0,0,0
VALENTIN.ZYKOV,CAR,10,3,4,7,2,0.7,18,16.7,1,0,0,0,0
VICTOR.METE,MTL,49,0,7,7,4,0.14,43,0,0,0,4,0,0
JONNY.BRODZINSKI,LA,35,4,2,6,6,0.17,53,7.5,1,0,0,0,0
NICHOLAS.BAPTISTE,BUF,33,4,2,6,14,0.18,45,8.9,1,0,1,0,0
ZACH.ASTON-REESE,PIT,16,4,2,6,2,0.38,20,20,1,0,0,0,0
NIKITA.SCHERBAK,MTL,26,4,2,6,8,0.23,39,10.3,0,1,2,1,0
MARKUS.HANNIKAINEN,CBJ,33,3,3,6,6,0.18,31,9.7,0,0,0,0,1
ROSS.JOHNSTON,NYI,24,3,3,6,62,0.25,19,15.8,0,0,0,0,0
COLIN.WHITE,OTT,21,2,4,6,8,0.29,24,8.3,1,0,0,0,0
OSKAR.LINDBLOM,PHI,23,2,4,6,8,0.26,36,5.6,1,0,1,0,0
ZACK.MITCHELL,MIN,23,3,2,5,4,0.22,17,17.6,1,1,0,0,0
JOHN.GILMOUR,NYR,28,2,3,5,14,0.18,61,3.3,1,1,0,0,0
MATTHEW.PECA,TB,10,2,3,5,0,0.5,17,11.8,0,0,0,0,0
CASEY.MITTELSTADT,BUF,6,1,4,5,2,0.83,9,11.1,0,1,0,0,0
VINNI.LETTIERI,NYR,19,1,4,5,0,0.26,28,3.6,0,0,1,0,0
BRENDAN.GUHLE,BUF,18,0,5,5,10,0.28,37,0,0,0,0,0,0
IAN.MCCOSHEN,FLA,38,3,1,4,25,0.11,26,11.5,1,0,0,0,0
