No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
122,Poulin,Dave,TSN,"Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Mikko Koivu, Minnesota Wild","Patrice Bergeron, Boston Bruins"
123,Powers,Scott,The Athletic,"Radek Faksa, Dallas Stars","Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights"
124,Reed,Tom,The Athletic,"William Karlsson, Vegas Golden Knights","Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins"
125,Richards,George,Columbus Dispatch,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights"
126,Rorabaugh,Seth,The Athletic,"Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Patrice Bergeron, Boston Bruins","Mikko Koivu, Minnesota Wild"
127,Rossi,Rob,Pittsburgh Tribune-Review,"Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Mikko Koivu, Minnesota Wild","Patrice Bergeron, Boston Bruins"
128,Russo,Michael,The Athletic,"Sean Couturier, Philadelphia Flyers","Mikko Koivu, Minnesota Wild","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights"
129,Rutherford,Jeremy,The Athletic,"Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Mikko Koivu, Minnesota Wild","William Karlsson, Vegas Golden Knights"
130,Ryan,Chris,Newark Star-Ledger,"Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Nicklas Backstrom, Washington Capitals"
131,Schoen,Dave,Las Vegas Review-Journal,"Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins"
132,Seravalli,Frank,TSN,"Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Mikko Koivu, Minnesota Wild"
133,Shannon,John,Sportsnet,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Mikko Koivu, Minnesota Wild"
134,Shapiro,Sean,The Athletic,"Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Radek Faksa, Dallas Stars","Anze Kopitar, Los Angeles Kings"
135,Shilton,Kristen,TSN,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers","Mikko Koivu, Minnesota Wild"
136,Shinzawa,Fluto,The Athletic,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Mikael Backlund, Calgary Flames","Mikko Koivu, Minnesota Wild","Patrice Bergeron, Boston Bruins"
137,Shoalts,David,The Globe and Mail,"Patrice Bergeron, Boston Bruins","William Karlsson, Vegas Golden Knights","Claude Giroux, Philadelphia Flyers","Sean Couturier, Philadelphia Flyers","Jonathan Marchessault, Vegas Golden Knights"
138,Siegel,Jonas,The Athletic,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","Radek Faksa, Dallas Stars","Patrice Bergeron, Boston Bruins"
139,Simmons,Steve,Postmedia,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
140,Simpson,Craig,HNIC,"Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Nicklas Backstrom, Washington Capitals"
141,Smith,Joe,The Athletic,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Brayden Point, Tampa Bay Lightning"
142,Spector,Mark,Sportsnet,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Mikko Koivu, Minnesota Wild","Jakob Silfverberg, Anaheim Ducks"
143,St. James,Helene,Detroit Free Press,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","William Karlsson, Vegas Golden Knights","Patrice Bergeron, Boston Bruins"
144,St. Laurent,Sylvain,Le Droit,"Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","Mikko Koivu, Minnesota Wild"
145,Staple,Arthur,The Athletic,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Colton Sissons, Nashville Predators","Sean Couturier, Philadelphia Flyers","Zach Hyman, Toronto Maple Leafs"
146,Stephens,Eric,Orange County Register,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers","Mikko Koivu, Minnesota Wild"
147,Stevenson,Chris,The Athletic,"Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Mikael Backlund, Calgary Flames","Mikko Koivu, Minnesota Wild"
148,Tasch,Justin,New York Daily News,"Mikko Koivu, Minnesota Wild","Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers"
149,Thomas,Jim,St. Louis Post-Dispatch,"Radek Faksa, Dallas Stars","Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Brayden Point, Tampa Bay Lightning"
150,Timmermann,Tom,St. Louis Post-Dispatch,"Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Mikko Koivu, Minnesota Wild"
151,Traikos,Michael,Postmedia,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Mikko Koivu, Minnesota Wild"
152,Vingan,Adam,The Tennessean,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Radek Faksa, Dallas Stars","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins"
153,Vogl,John,Buffalo News,"Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Mikko Koivu, Minnesota Wild"
154,Wallace,Lisa,The Canadian Press,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers","Mikko Koivu, Minnesota Wild","Sean Couturier, Philadelphia Flyers"
155,Warren,Ken,Ottawa Citizen,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Brayden Point, Tampa Bay Lightning","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers"
156,Wharnsby,Tim,CBCSports.ca,"Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Mikko Koivu, Minnesota Wild","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers"
157,Whicker,Mark,Orange County Register,"Ryan O'Reilly, Buffalo Sabres","Logan Couture, San Jose Sharks","Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Sidney Crosby, Pittsburgh Penguins"
158,Whyno,Stephen,The Associated Press,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins"
159,Wiebe,Ken,Winnipeg Sun,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins"
160,Willes,Ed,The Province,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers",Brad Marchand. Boston Bruins
161,Wyman,Ted,Winnipeg Sun,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Sidney Crosby, Pittsburgh Penguins"
162,Wyshynski,Greg,ESPN,"Mikko Koivu, Minnesota Wild","Sean Couturier, Philadelphia Flyers","Radek Faksa, Dallas Stars","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers"
163,Yohe,Josh,The Athletic,"Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights"
164,Zipay,Steve,Newsday,"Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Vladimir Tarasenko, St. Louis Blues"
