No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
28,Conroy,Stephen,Boston Herald,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Mikko Koivu, Minnesota Wild","Aleksander Barkov, Florida Panthers"
29,Custance,Craig,The Athletic,"Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Radek Faksa, Dallas Stars"
30,Cuthbert,Chris,TSN / NBC,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins","William Karlsson, Vegas Golden Knights"
31,Dater,Adrian,BSN Denver,"Aleksander Barkov, Florida Panthers","Radek Faksa, Dallas Stars","Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Colton Sissons, Nashville Predators"
32,De Foy,Marc,Le Journal de Montreal,"Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Brayden Point, Tampa Bay Lightning","Aleksander Barkov, Florida Panthers"
33,DeCock,Luke,Raleigh News & Observer,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Mikko Koivu, Minnesota Wild","Jordan Staal, Carolina Hurricanes"
34,DeFranks,Matthew,South Florida Sun-Sentinel,"Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Patrice Bergeron, Boston Bruins"
35,Diamond,Jim,The Associated Press,"Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Mikko Koivu, Minnesota Wild"
36,Dietz,John,Arlington Daily Herald,"Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Sidney Crosby, Pittsburgh Penguins","Taylor Hall, New Jersey Devils"
37,Dixon,Ryan,Sportsnet,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Mikko Koivu, Minnesota Wild","Aleksander Barkov, Florida Panthers"
38,Dreger,Darren,TSN,"Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Mikko Koivu, Minnesota Wild"
39,Dryden,Steve,TSN,"Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Mikko Koivu, Minnesota Wild"
